Comment;Designator;Footprint;Quantity;Part Description;Part Number
10k, 10k, 10k, 1k, 10k, 10k, 10k, 10k, 1k, 10k, 10k, 10k, 1k, 1k, 10k, 10k, 10k, 10k, 10k, 10k, 10k, 10k, 10k, 10k, 10k, 10k, 10k, 10k, 1k, 1k, 1k, 10k, 1k, 10k, 10k, 10k, 10k, 10k, 10k, 10k, 10k, 10k, 10k, 10k, 10k, 1k, 1k, 1k;R2, R6, R8, R10, R11, R12, R14, R15, R16, R23, R25, R26, R27, R29, R32, R34, R43, R45, R46, R47, R49, R50, R51, R52, R53, R56, R57, R58, R70, R72, R73, R74, R75, R82, R83, R84, R87, R88, R89, R90, R91, R94, R95, R102, R103, R104, R107, R110;0603;48;Resistor 0603, 10kOhms, 5%, 1/10W;RC0603JR-0710K
39;R3, R4;0603;2;Resistor 0603, 39Ohms, 1%, 1/10W;RC0603FR-0739RL
6k2;R5, R21, R63, R100, R101;0603;5;Resistor 0603, 6.2kOhms, 5%, 1/10W;RC0603JR-076K2L
510;R7, R65, R67, R71, R105, R108, R109;0603;7;Resistor 0603, 510Ohms, 5%, 1/10W;RC0603JR-07510RL
49.9R;R13, R22, R40, R41, R54, R55, R92, R93;0603;8;Resistor 0603, 49.9Ohms, 1%, 1/10W;RC0603FR-0749R9
240;R18, R19, R24, R28, R30, R33, R37, R39, R44, R48, R64, R66, R68, R69, R76, R77, R78, R79, R80, R81, R85, R86;0603;22;Resistor 0603, 240Ohms, 1%, 1/10W;RC0603FR-07240RL
10;R31, R42;0603;2;Resistors - 1/8 Watt 10ohms 1%;CRCW060310R0FKEA
33;R59, R60, R61, R62, R96, R97, R98, R99;0603;8;Resistor 0603, 33Ohms, 1%, 1/10W;RC0603FR-0733RL
;SD1;DM3AT-SF-PEJM5;1;uSD card holder;DM3AT-SF-PEJM5
;T1, T2, T3, T4, T5, T6, T7;SOT23;7;MOSFETs SOT-23 N-CH LOGIC;BSS138
SMAJ5.0CA, SMAJ5.0CA, SMAJ5.0CA, SMAJ5.0CA, SMAJ5.0CA, SMAJ5.0CA, SMAJ5.0CA, SMAJ5.0CA, SMAJ5.0CA, SMAJ5.0CA, SMAJ5.0CA, SMAJ5.0CA, SMAJ5.0CA, SMAJ5.0CA, SMAJ5.0CA, TVS Diode, TVS Diode, TVS Diode, TVS Diode, TVS Diode, TVS Diode, TVS Diode;TVS1, TVS2, TVS3, TVS4, TVS5, TVS6, TVS7, TVS8, TVS9, TVS10, TVS11, TVS12, TVS13, TVS14, TVS15, TVS16, TVS17, TVS18, TVS19, TVS20, TVS21, TVS22;SM6T, DO-214AC, DO-214AC, DO-214AC, DO-214AC, DO-214AC, DO-214AC, DO-214AC, DO-214AC, DO-214AC, DO-214AC, DO-214AC, DO-214AC, DO-214AC, DO-214AC, DO-214AC, DO-214AC, DO-214AC, DO-214AC, DO-214AC, DO-214AC, DO-214AC;22;ESD Protection Diodes 5V;SMAJ5.0CA
;U1;LFBGA 144;1;ARM M3 32bit 84 MHz;ATSAM3X8EA-AU
TPS54331;U2;SOIC 8;1;Switching Voltage Regulators 3A 28V In Step Down;TPS54331DR
;U3;SOT223;1;LDO Voltage Regulators 800MA 3.3V;LM1117MPX-3.3
;U4, U5, U6, U7, U8, U9, U10;MAX485 - duplicate;7;RS-485 Interface IC Low-Power;SN65HVD3082EDR
W5500;U11, U16;LQFP 48;2;Ethernet ICs 3in1 Enet Controller TCP/IP +MAC+PHY;W5500
Gate;U12, U13, U14, U15, U17;SOT23 - 5 lead;5;SINGLE BUS BUFFER GATE;SN74LVC1G125DBVR
;U18;TSSOP28;1;UART Interface IC I2C/SPI;SC16IS752IPW,128
TS391ILT;U21;SOT23 - 5 lead;1;Analog Comparators Lo-Pwr Sngl Voltage;TS391ILT
;XT1;KX – 327;1;MEMS Oscillators 32.768Khz;KX – 327XS
;XTL2;KX-7 XTAL;1;Clock Oscillators 14.7456MHz;Geyer KX-7 14.7456MHz
;XTL4, XTL5;KX-7 XTAL;2;Clock Oscillators 25.0 MHZ;Geyer KX-7 25.0 MHz
;XTL6;KX-7 XTAL;1;MEMS Oscillators 12.0 MHZ 15PF;Geyer KX-7 12.0 MHz
CG0603MLC-05E;Z1, Z2;0603;2;Chip Guard 0603 5 Volts;CG0603MLC-05E
